"","X","geneA","geneB","number.of.patients","p.value","logp","geneCombo"
"9177",9176,"!TP53","!RICTOR",14,0.100098069184282,0.999574299650546,"!TP53;!RICTOR"
"9195",9194,"!TP53","!BTK",14,0.126974671074179,0.896282903530701,"!TP53;!BTK"
"9196",9195,"!TP53","!CREBBP15",14,0.126974671074179,0.896282903530701,"!TP53;!CREBBP15"
"9199",9198,"!TP53","!FLT316",14,0.126974671074179,0.896282903530701,"!TP53;!FLT316"
"9200",9199,"!TP53","!GATA3",13,0.137961059130862,0.860243480201115,"!TP53;!GATA3"
"9201",9200,"!TP53","!GNAS17",14,0.126974671074179,0.896282903530701,"!TP53;!GNAS17"
"9203",9202,"!TP53","!LRP1B18",13,0.133925732130891,0.873135970793918,"!TP53;!LRP1B18"
"9207",9206,"!TP53","!NOD1",14,0.126974671074179,0.896282903530701,"!TP53;!NOD1"
"9208",9207,"!TP53","!NOTCH2",14,0.126974671074179,0.896282903530701,"!TP53;!NOTCH2"
"9209",9208,"!TP53","!PDGFRB",13,0.142937334490662,0.844854320925145,"!TP53;!PDGFRB"
"9210",9209,"!TP53","!SETD2",14,0.126974671074179,0.896282903530701,"!TP53;!SETD2"
"9211",9210,"!TP53","!TSC2",13,0.137961059130862,0.860243480201115,"!TP53;!TSC2"
"9303",9302,"!TP53","!EZH2",14,0.100098069184282,0.999574299650546,"!TP53;!EZH2"
"9327",9326,"!TP53","!MPL",13,0.109165736422304,0.961913651170927,"!TP53;!MPL"
"9351",9350,"!TP53","!EPHA5",14,0.100098069184282,0.999574299650546,"!TP53;!EPHA5"
"9361",9360,"!TP53","!BCL6",14,0.100098069184282,0.999574299650546,"!TP53;!BCL6"
"9372",9371,"!TP53","!MET27",14,0.100098069184282,0.999574299650546,"!TP53;!MET27"
"9375",9374,"!TP53","!POT1",14,0.100098069184282,0.999574299650546,"!TP53;!POT1"
"9376",9375,"!TP53","!RAD21",14,0.100098069184282,0.999574299650546,"!TP53;!RAD21"
"9389",9388,"!TP53","!MYC",14,0.100098069184282,0.999574299650546,"!TP53;!MYC"
"9390",9389,"!TP53","!BRAF",14,0.100098069184282,0.999574299650546,"!TP53;!BRAF"
"9391",9390,"!TP53","!KMT2C",14,0.100098069184282,0.999574299650546,"!TP53;!KMT2C"
"9392",9391,"!TP53","!NSD1",14,0.100098069184282,0.999574299650546,"!TP53;!NSD1"
"9393",9392,"!TP53","!SMO",14,0.100098069184282,0.999574299650546,"!TP53;!SMO"
"9394",9393,"!TP53","!STAT4",14,0.100098069184282,0.999574299650546,"!TP53;!STAT4"
"9433",9432,"!RB1","!BRCA1",20,0.0664929930520036,1.17722411769211,"!RB1;!BRCA1"
"9438",9437,"!RB1","!BRCA2",19,0.1122402324979,0.949851442367702,"!RB1;!BRCA2"
"9444",9443,"!RB1","!MED12",19,0.1122402324979,0.949851442367702,"!RB1;!MED12"
"9451",9450,"!RB1","!ATRX",16,0.0901668572572891,1.04495306728408,"!RB1;!ATRX"
"9465",9464,"!RB1","!CCNE1",20,0.0597238520025547,1.2238521894014,"!RB1;!CCNE1"
"9468",9467,"!RB1","!IRS2",19,0.10083985002464,0.996367808905149,"!RB1;!IRS2"
